어떵 살아 점수꽈? 펜안 해수꽈?,어떻게 살고 있습니까? 편안 하십니까?
무싱거엔 고람쑤꽈? 귀 눈이 왁왁하우다.,무엇이라고 말하십니까? 귀와 눈이 캄캄합니다.
맨도롱 혼때 호로록 들여 싸 붑써,따뜻할 때 후루룩 잡수십시오
무싱 걸 몽캐미꽈? 혼저 옵서게,뭘 그리 늦장 부리십니까? 빨리 오십시오
"왕 봅서, 고랑은 몰라 마씀","와서 보십시오,말로 해서는 모릅니다"
곱들락 호게 몬뜰락 벗엉 옵서,아름답게 모조리 벗어서 오십시오
어디 갔당 왐수꽈? 어드레 감수꽈?,어디 갔다가 오십니까? 어디로 가십니까?
"둥그리멍 키웁서, 경 해사 혼저 큽니다.",고생시키면서 키웁십시오.그래야 빨리 자랍니다
"어떵 살코, 저들지 맙서, 촘앙 살민 살아집니다","어떻게 살까,걱정 마십시오.참고 살면 살수 있습니다"
느영 나영 두리둥실 소랑호게 마씸,너하고 나하고 둘이 둥실 사랑합시다
독수리,똥소레기
돼지,도새기
강아지,강생이
망아지,몽생이
억새,어묵
병아리,빙애기
새,생이
노루,노리
고양이,고냉이
서둘리지마,와리지 말라
기분 좋아?,지꺼지냐?
나무,낭
어디 가세요?,어드러 감수광
어서 오세요,혼저 홉써에
어디가?,어디가맨?
왜? ,무사?
수고했어,속아수다
빨리빨리,재기재기
딸,똘
그렇게,그추룩
빨리오세요,혼저옵서
많이보세요,하영봅서
갔다오세요,강옵서
쉬어서 가세요,쉬영갑서
좋습니까,좋쑤과
알았습니다,알았수다
어디서 오셨습니까,어디서 옵데가?
여보세요,날봅서
계십니까?,이쑤꽈?
예 어서오십시요,예 어서 옵써
많이 파십시오,많이 팝서
다시 오겠습니다,다시 오쿠다 양
가느냐?,감시냐?
오라고 하느냐?,오라시냐?
갔느냐?,가시냐?
어디 가십니까?,어디 감수꽈?
내일 오시겠습니까?,낼 오쿠꽈?
언제 오시겠습니까?,어느제 오쿠과
놀다가 가십시오,놀당 갑서양
매우 수고하셨습니다,폭싹 속았수다
여기예. 이거 키로에 얼마마씨?,여기요. 이거 1kg에 얼마예요?
사천원마씨.,사천원입니다.
기꽝? 사천원치 줍서. 하영줍서예.,그래요? 사천원어치주세요. 많이주세요.
많이 담암수다양. 맛있게 드십써 양.,많이 드립니다. 맛있게 드세요.
삼성혈가잰하는디예. 어디로 가면 되마씨?,삼성혈에 가려는데요. 어디로 가면 되지요?
거기마씨? 여기서 10분만 밑트레강 칼호텔조끄티서 바로 왼펜돌아가민 되우다.,거기요? 여기서 10분 밑으로가서 칼호텔 근처에서 돌아서 왼쪽으로 가면 됩니다.
"알아지쿠가? 거기강 아무으네, 아무사람이나 잡앙 물어보민 잘 말해 줄꺼우다.",알겠어요? 거기가서 아므사람이나 물어보면 잘 말해 줄꺼예요.
관광잘행 갑써예.,관광 잘하고 가세요.
혼저 옵서. 제주도 사투리로 말 호난,어서 오십시오.  제주도 사투리로 말 하니까.
무신거랜 고람 신지 몰르쿠게?,뭐라고 말하는지 모르겠지요?
"게메 마씀, 귀 눈이 왁왁하우다.",글세 말입니다. 귀와 눈이 캄캄합니다.
경해도 고만히 생각호멍 들으민 호끔씩 알아집니다.,그래도 가만히 생각하며 들어면 조금씩 알 게 됩니다.
오랜만이우다. 몸은 펜안 하우꽈?,오랜만이예요. 편안하십니까?
얼굴이 펜안해 보염수다.,얼굴이 좋아보이네요.
혼저옵서예.,어서오세요.
제주도 오잰하난 폭삭 속아수다.,제주도 오느라 수고하셨어요.
제주도오난 촘말로 좋수다. 공기도 좋고,"제주도에 오니까 정말로 좋습니다. 공기도 좋고,"
산이영 바당이영 몬딱 좋은게 마씀.,산이랑 바다랑 모두가 좋습니다.
게메 양. 경 해시민 얼마나 좋코 마씀?,그러게 말입니다. 그렇게 했으면 얼마나 좋겠습니까?
"안트레 들어 왕, 밥 먹엉 갑서.","안으로 들어 오셔서, 식사 하고 가십시오."
맨도롱 했수과?,따뜻합니까?
뜻뜻혼 게 먹기 똑 좋았수다.,따끈따끈한 것이 먹기에 꼭 좋았습니다.
맛있수다.,맛 좋네요.
똥소레기,독수리
도새기,돼지
강생이,강아지
몽생이,망아지
빙애기,병아리
생이,새
노리,노루
고냉이,고양이
꿩마농,산달래
도채비운장,산수국
송키,채소
지실,감자
감저,고구마
어욱,억새
태역,잔디
모물,메밀
굴묵낭,느티나무
가라지,강아지풀
숙대낭,삼나무
폭낭,팽나무
혼저옵서,어서오십시오.
무신거옌 고람신디 몰르쿠게?,뭐라고 말하는지 모르겠지요?
"게메마씀, 귀눈이 왁왁하우다",글쎄말입니다. 귀와 눈이 캄캄합니다.
경해도 고만히 생각호멍 들으민 호꼼식 알라집니다.,그래도 가만히 생각하며 들으면 조금씩 알게 됩니다.
펜안하우꽈? 제주도에 오난 어떵 하우꽈?,편안하십니까? 제주도에 오니 어떠하십니까?
산이영 바당이영 몬딱 좋은게 마씀.,산이랑 바다랑 모두가 좋습니다.
"저기 물허벅 정가는 거, 비바리덜 아니꽈?","저기, 바구니지고 가는 거, 처녀들 아닙니까?"
"맞수다. 비바리도 있고, 넹바리도 있수다.","맞습니다. 처녀도 있고, 시집간 여자도 있습니다."
날 얼마나 소랑햄쑤과?,나를 얼마나 사랑하십니까?
"저기 한락산만큼, 또 바당만큼 소랑햄쪄.","저기 한라산 만큼, 또 바다 만큼 사랑한다."
이 조끄뜨레만 오라게,여기 가까지 오너라.
무사 조끄뜨레만 오랜 햄수과?,왜 가까이에만 오라고 하십니까?
호꼼 이라도 고치만 있고싶언.,조금이라도 같이만 있고 싶어서.
둥구리멍 질룬 독새기가 빙애기 된댕 혼다.,뒹굴리면서 기른 달걀이 병아리가 된다고 한다.
혼저 왕 먹읍서.,어서 와서 먹으십시오.
맨도롱 했수과?,따뜻합니까?
맨도롱 홀때 호로록 들여 싸붑서.,따뜻할때 후루룩 마셔 버리십시오.
무싱거꽈?,무엇입니까?
소도리 행 댕기지 맙서.,소문 옮기면서 다니지 마십시오.
호꼼 미안하우다. 이게 얼마꽈?,조금 실례합니다. 이것이 얼마입니까?
난 아명해도 안돼쿠다.,"난, 아무리해도 안되겠습니다."
"무사, 안된댄 생각햄시냐?","왜, 안된다고 생각하느냐?"
서울서 온 소나이,서울서온 사나이
제주 비바리에 미쳐부런,제주 처녀에 미쳐버리니까
"오늘가카, 낼 가카, 호다부난","오늘갈까, 내일갈까, 하다보니"
옴짝 못핸 살암서라.,꼼짝 못해서 살고 있더라.
속앗수다예!,수고했습니다!
놈들곧이 살아그네 어떵허쿠과?,남들처럼 살아서 어떻게 하겠습니까?
집에 가카마시?,집에 갈까요?
왕 밥 먹읍서예!,와서 밥 먹으세요!
강 봐그네 잇걸랑 상옵서.,가 보아서 있거든 사오세요.
잘도 아깝다.,매우 예쁘다.
혼저 옵서. 제주도 사투리로 말 호난,어서 오십시오.  제주도 사투리로 말 하니까.
무신 거옌 고람 신디 몰르쿠게?,뭐라고 말하는지 모르겠지요?
"게메 마씀, 귀 눈이 왁왁하우다.",글세 말입니다. 귀와 눈이 캄캄합니다.
경해도 고만히 생각호멍 들으민 조금씩 알아집니다.,그래도 가만히 생각하며 들어면 조금씩 알 게 됩니다.
제주도 사투리 촘말로 귀하고 아름다운 보물이우다.,제주도 사투리 정말로 귀하고 아름다운 보물입니다.
펜안 하우꽈? 제주도엔 오난 어떵 하우꽈?,편안하십니까? 제주도에 오니 어떠하십니까.
"촘말로 좋수다. 공기도 맑고,","정말로 좋습니다. 공기도 맑고,"
산이영 바당이영 몬딱 좋은게 마씀.,산이랑 바다랑 모두가 좋습니다.
서울에 갈 때랑 하영 담앙 갑서.,서울에 갈 때는 많이 담아서 가십시오.
"게메, 양. 경 해시민 얼마나 좋코 마씀?",그러게 말입니다. 그렇게 했으면 얼마나 좋겠습니까?
"저기, 물허벅 정 가는 거, 비바리덜 아니꽈?","저기, 물허벅지고 가는 거, 처녀들 아닙니까?"
"맞수다. 비바리도 있고, 넹바리도 있수다.","맞습니다. 처녀도 있고, 시집 간 여자도 있습니다."
비바리덜 곱들락 호고 놀씬하우다 양 !,처녀들도 곱고 날씬하군요 !
안아 보곡 소랑호젠.,안아보고 사랑할려고.
호꼼만 이십서게.,조금만 계십시오.
몽케지 말앙 혼저 오라게.,꾸물대지 말고 어서 오너라.
이 조끄뜨레 오라게.,여기 가까이 오너라.
무사 조끄뜨레만 오랜 햄수꽈?,왜 가까이만 오라고 하십니까?
호꼼이라도 고치만 있고 싶언.,조금이라도 같이만 잇고 싶어서.
놈덜 웃읍니다.,남들이 웃습니다.
어떵 호느냐? 소랑에는 부치름이 엇나.,어떠하느냐? 사랑네는 부끄러움이 없단다.
조끄뜨레 하기엔 하영멍 당신.,가까이 하기엔 머나먼 당신.
혼저 왕 먹읍서.,어서 와서 먹으십시오.
맨도롱 했수과?,따뜻합니까?
뜻뜻혼 게 먹기 똑 좋았수다.,따끈따끈한 것이 먹기에 꼭 좋았습니다.
맨도롱 홀 때 호로록 들여 싸붑서.,따뜻할 때 후루룩 마셔 버리십시오.
과랑 과랑혼 벳디,쨍쨍한 해볕속에
일 호젠 호난 속았수다.,일 하려고 하니 수고 했습니다.
"속을 거 있수과? 호꼼, 또ㅁ은 났수다만,","수고 할 거 있습니까? 조금,땀은 났습니다만,"
"안트레 들어 왕, 저녁 먹엉 갑서.","안으로 들어 오셔서, 저녁식사 하고 가십시오."
혼저옵서,어서오세요
왕 봥 갑서,와서 보고 가세요
도르멍 도르멍 옵서,뛰면서 오세요
또시 꼭 옵서양,다시 꼭 오세요
쉬영갑서,쉬어서 가세요
검절매레 안갈꺼과,김매러 안가실겁니까
알았수다,알았습니다
여기서 서울더레 해집주양?,여기서 서울에 전화할 수 있지요?
제주엔 참 종거 만쑤다양,제주엔 참 좋은 것이 많이 있습니다.
저녁에랑 전복죽 쒀줍서양,저녁 식사 때는 전복죽을 쑤어주세요.
얼마나 사쿠꽈,얼마나 사겠습니까.
영 갑서양,이쪽으로 가십시오.
왕갈랑갑서,와서 나누어 가지고 가세요.
차탕갑서,차를 타고 가세요.
저디 산 것 말이우꽈?,저기 서 있는 것 말입니까?
어디 감수꽈,어디 가십니까?
맛조수다게,맛있습니다.
도르멍 도르멍 가다,뛰면서 뛰어가다.
폭싹 속았수다,매우 수고하셨습니다
"옵데강, 혼저오십서","오셨습니까, 어서 오십시오."
"혼저 혼저, 재게 재게 옵서","어서 어서, 빨리빨리 오세요"
놀멍 놀멍 봅서,천천히 보세요
하영봅서,많이 보세요
햄시냐,하고있느냐
좋쑤과,좋습니까
침대방 허쿠과. 온돌방 쓰쿠과,침대방 하겠어요? 온돌방 쓰겠어요.
어디서 옵데가?,어디서 오셨습니까.
날봅서. 있쑤과,여보세요. 계십니까?
예. 어서 옵써,예 어서 오십시요.
많이팝서 다시 오쿠다 양,"많이 파십시오, 다시 오겠습니다."
이거 얼마우꽈,이거 얼마입니까.
경허지 맙서,그렇게 하지 마세요
놀암시냐,놀고 있느냐?
이거 얼마우꽈,이거 얼마입니까.
낼 오쿠꽈,내일 오시겠습니까?
어느제 오쿠과,언제 오시겠습니까?
볕이 과랑과랑 허다,햇볕이 쨍쨍나다.
이시냐,있느냐
강옵서,갔다오세요
와시냐,왔느냐
이쑤과,있습니까.
가시냐,갔느냐?
감시냐,가느냐?
혼저 옵서. 제주도 사투리로 말 호난,어서 오십시오. 제주도 사투리로 말 하니까.
무신 거옌 고람 신디 몰르쿠게?,뭐라고 말하는지 모르겠지요?
"게메 마씀, 귀 눈이 왁왁하우다",글세 말입니다. 귀와 눈이 캄캄합니다.
경해도 고만히 생각호멍 들으민 조금씩 알아집니다,그래도 가만히 생각하며 들어면 조금씩 알게 됩니다.
제주도 사투리 촘말로 귀하고 아름다운 보물이우다, 제주도 사투리 정말로 귀하고 아름다운 보물입니다.
펜안 하우꽈? 제주도엔 오난 어떵 하우꽈?,편안하십니까? 제주도에 오니 어떠하십니까.
촘말로 좋수다. 공기도 맑고,"정말로 좋습니다. 공기도 맑고,"
산이영 바당이영 몬딱 좋은게 마씀,산이랑 바다랑 모두가 좋습니다.
서울에 갈 때랑 하영 담앙 갑서,서울에 갈 때는 많이 담아서 가십시오.
"게메, 양. 경 해시민 얼마나 좋코 마씀?",그러게 말입니다. 그렇게 했으면 얼마나 좋겠습니까?
"저기, 물허벅 정 가는 거, 비바리덜 아니꽈?","저기, 바구니지고 가는 거, 처녀들 아닙니까?"
"맞수다. 비바리도 있고, 넹바리도 있수다","맞습니다. 처녀도 있고, 시집 간 여자도 있습니다."
비바리덜 곱들락 호고 놀씬하우다 양 !,처녀들도 곱고 날씬하군요 !
안아 보곡 소랑호젠,안아보고 사랑할려고
몽케지 마랑 혼저 오라게,꾸물대지 말고 어서 오너라
무사 조끄뜨레만 오랜 햄수꽈?,왜 가까이(옆에)만 오라고 하십니까?
호꼼이라도 고치만 있구정 호연,조금이라도 같이만 잇고 싶어서
어떵 호느냐? 소랑에는 부치름이 엇나,어떠하느냐? 사랑네는 부끄러움이 없단다.
조끄뜨레 하기엔 하영멍 당신,가까이 하기엔 머나먼 당신
맨도롱 하우꽈?,따뜻합니까?
맨도롱 홀 때 호로록 들여 싸붑서,따뜻할 때 후루룩 마셔 버리십시오.
과랑 과랑혼 벳디,쨍쨍한 햇볕속에
"속을 거 있수과? 호꼼, 똠은 났수다만","수고 할 거 있습니까? 조금 땀은 났습니다만,"
"안트레 들어 왕, 저녁 먹엉 갑서","안으로 들어 오셔서, 저녁식사 하고 가십시오.기본 단어"
아 방,아버지
다슴아덜,의붓아들
씨아주방,남편의 형제
가시어멍,장모
제집아이,여자아이
괜당(방상),친족
아저씨,아주방
고냥 독생이,굴뚝새
송애기,송아지
강생이,강아지
게염지,개미
생이,새
쉐,소
하르방,할아버지
씨아방,시아버지
메누리,며누리
예펜,여편네
두가시,부부
꿩바치,꿩사냥꾼
말젯놈,세쨋놈동물
박생이,동박새
돗(도새기),돼지
갓돔,도미
베랭이,버러지
쥉이,쥐
다세기,돼지
할 망,할머니
씨어멍,시어머니
가시아방,장인
소나이,사나이
두린아이,어린아이
아시,동생
독,닭
부랭이,수소
겡이,게
베염,뱀
여호,여우
두테비,두꺼비
다 슴,의붓
고냉이,고양이
염송애기,염소
구젱기,소라
빙애기,병아리
노리,노루
골개비,개구리
호꼼만 이십서게,조금만 계십시오.
이 조끄뜨레 오라게,여기 가까이 오너라.
놈덜 우습니다,남들이 웃습니다.
혼저 왕 먹읍서,어서 와서 먹으십시오.
똣똣혼 게 먹기 똑 좋았수다,따끈따끈한 것이 먹기에 꼭 좋았습니다.
일 호젠 호난 속았수다,일 하려고 하니 수고 했습니다.
어 멍,어머니
다슴똘,다슴딸
족은아덜,작은 아들
동세,동서
비바리,처녀
사농바치,사냥꾼
아주머니,아주망
놀개기,날개
몽생이,망아지
중이,쥐
멩마구리,맹꽁이
나람쥐,다람쥐
쉐막,외양간
감저,고구마
재배낭,구실잣밤나무
폭낭,팽나무
감낭,감나무
대죽,수수
고고리,이삭
하르비고장,할미꽃
낭꺼죽,나무 껍질
가시자왈,가시덤불
지실,감자
굴묵낭,느티나무
깻잎,유입
검질,잡초
콥대사니,마늘
콩각매기,콩깍지
소앵이,엉겅퀴
곡석,곡식
쇠우리,부추
모물,메밀
가라지,강아지풀
새우리,부추
녹디,녹두
마농,파
놈삐,무
천상쿨,"망초, 개망초"
콩꼬질,"빈 콩깍지, 빈 이삭"
어욱,억새
숙대낭,삼나무
부루,상추
낭 -나무,
꿩마농,달래
노몰,채소
낭께기,나무가지
촐,꼴
태역,잔디
대낭,대나무
사오기 낭,벚나무
각매기,빈 이삭
베체기,질경이
아방,아버지
어멍,어머니
하르방,할아버지
할망,할머니
아즈방,아저씨
아즈망,아주머니
오라방,오빠
똘,딸
동 세 ,동서
예펜,여편네
소나이 ,사나이
제집아이 ,여자아이
비바리 ,처녀
촐람생이 ,남의 말에 잘 끼어드는 성급한 사람
두가시 ,부부
삼촌 조케 ,삼촌조카
두린아이 ,어린아이
괜당(방상) ,친족
사농바치 ,사냥꾼
꿩바치 ,꿩사냥꾼
침바치 ,침을 넣는 사람
씨아방 ,시아버지
씨어멍 ,시어머니
씨아주방 ,남편의 형제
족은아덜 ,작은 아들
아덜 ,아들
메누리 ,며누리
가시아방 ,장인
가시어멍 ,장모
동 세 ,동서
예펜,여편네
소나이 ,사나이
제집아이 ,여자아이
비바리 ,처녀
촐람생이 ,남의 말에 잘 끼어드는 성급한 사람
두가시 ,부부
삼촌 조케 ,삼촌조카
두린아이 ,어린아이
괜당,친족
사농바치 ,사냥꾼
꿩바치 ,꿩사냥꾼
아시,동생
가시아방,장인
가시어멍,장모
셋아방,큰아버지
괸당,친척
아저씨,아주방
아주머니,아주망
언니,성
혼저옵서.,빨리오세요
하영봅서.,많이보세요
강옵서.,갔다오세요
쉬영갑서.,쉬어서 가세요
이시냐.,있느냐
햄시냐.,하고있느냐
와시냐.,왔느냐
검절매레 안갈꺼과.,김매러 안가실겁니까.
좋쑤과.,좋습니까.
이쑤과.,있습니까.
알았수다.,알았습니다
침대방 허쿠과. 온돌방 쓰쿠과.,침대방 하겠어요? 온돌방 쓰겠어요.
여기서 서울더레 해집주양?,여기서 서울에 전화할 수 있지요?
"제주엔 참 종거 만쑤다양,",제주엔 참 좋은 것이 많이 있습니다.
저녁에랑 전복죽 쒀줍서양.,저녁식사때는 전복죽을 쑤어주세요.
어디서 옵데가?,어디서 오셨습니까.
날봅서. 있쑤과.,여보세요. 계십니까?
예. 어서 옵써.,예 어서 오십시요.
얼마나 사쿠꽈.,얼마나 사겠습니까.
많이팝서 다시 오쿠다 양.,"많이 파십시오, 다시 오겠습니다."
영 갑서양.,이쪽으로 가십시요.
이거 얼마우꽈.,이거 얼마입니까.
"독새기, 놈삐, 콥데사니, 아방","달걀, 무우, 마늘, 아버지"
"어멍, 비바리","어머니, 처녀"
왕갈랑갑서.,와서 나누어 가지고 가세요.
경허지 맙서.,그렇게 하지 마세요
차탕갑서.,차를 타고 가세요.
놀암시냐,놀고 있느냐?
감시냐,가느냐?
오라시냐,오라고 하느냐?
가시냐,갔느냐?
저디 산 것 말이우꽈?,저기 서 있는 것 말입니까?
이거 얼마우꽈.,이거 얼마입니까.
어디 감수꽈,어디 가십니까?
낼 오쿠꽈,내일 오시겠습니까?
골암수꽈,말하십니까?
맛조수다게,맛있습니다.
어느제 오쿠과,언제 오시겠습니까?
놀당 갑서양,놀다가 가십시요.
도르멍 도르멍 가다,뛰면서 뛰어가다.
볕이 과랑과랑 허다,햇볕이 쨍쨍나다.
폭싹 속았수다,매우 수고하셨습니다.
